,e,1.30,1.80,2.20
71,0.3372,3.88361269632e-06,7.44515105428e-06,7.39800769357e-06
72,0.342,3.87833097026e-06,7.43502555196e-06,7.65221323926e-06
73,0.3468,3.87395817518e-06,7.42664252613e-06,7.57883981521e-06
74,0.3515,3.86951638743e-06,7.4181272385e-06,7.85158585397e-06
75,0.3563,3.86220963364e-06,7.40411961748e-06,8.13281563854e-06
76,0.361,3.85991544925e-06,7.39972142948e-06,8.0765060236e-06
77,0.3657,3.85637936221e-06,7.39294242556e-06,8.38390450252e-06
78,0.3705,3.85035608209e-06,7.38139530456e-06,8.70142720333e-06
79,0.3752,3.84687538879e-06,7.37472249439e-06,8.65222728538e-06
80,0.38,3.84071758961e-06,7.36291748792e-06,8.98987089696e-06
81,0.3847,3.83502175251e-06,7.35199809448e-06,9.34505339199e-06
82,0.3895,3.83089491258e-06,7.34408657397e-06,1.01358302618e-05
83,0.3942,3.82259502646e-06,7.32817503795e-06,1.09465510554e-05
84,0.399,3.81585292169e-06,7.31524987071e-06,1.09272438019e-05
85,0.4037,3.81314566936e-06,7.31005978632e-06,1.09194909179e-05
86,0.4085,3.80569897989e-06,7.29578388299e-06,1.08981659876e-05
87,0.4133,3.80334761312e-06,7.29127605201e-06,1.08914322233e-05
88,0.418,3.79427167946e-06,7.27387676957e-06,1.08654416976e-05
89,0.4228,3.78902474338e-06,7.26381793976e-06,1.08504160673e-05
90,0.4275,3.77942501647e-06,7.24541451232e-06,1.08229255912e-05
91,0.4322,3.77478957181e-06,7.23652794296e-06,1.08096510249e-05
92,0.437,3.76959095434e-06,7.22656173684e-06,1.07947637432e-05
93,0.4417,3.75976693466e-06,7.20772831184e-06,1.07666309351e-05
94,0.4465,3.75523773555e-06,7.19904542421e-06,1.07536606244e-05
95,0.4512,3.74531329317e-06,7.18001947649e-06,1.07252402256e-05
96,0.456,3.73821366744e-06,7.16640889801e-06,1.07049091043e-05
97,0.4607,3.7343179292e-06,7.15894038966e-06,1.06937527752e-05
98,0.4655,3.72264860751e-06,7.13656938505e-06,1.06603356518e-05
99,0.4703,3.71716717287e-06,7.12606098069e-06,1.06446384302e-05
100,0.475,3.70711359376e-06,7.10678746293e-06,1.06158482117e-05
101,0.4798,3.70222526411e-06,7.09741607349e-06,1.06018494095e-05
102,0.4845,3.69434009189e-06,7.08229953613e-06,1.05792687279e-05
103,0.4892,3.68322825057e-06,7.06099725435e-06,1.05474480142e-05
104,0.494,3.67902838025e-06,7.05294568319e-06,1.05354206996e-05
105,0.4987,3.66950676722e-06,7.03469196273e-06,1.05081537915e-05
106,0.5035,3.66602618296e-06,7.02801931225e-06,1.04981862576e-05
107,0.5082,3.65215262521e-06,7.00142260795e-06,1.04584569032e-05
108,0.513,3.64869321647e-06,6.99479054109e-06,1.04485499753e-05
109,0.5177,3.63812398983e-06,6.97452847471e-06,1.04182830777e-05
110,0.5225,3.6229954663e-06,6.9455259245e-06,1.03749599737e-05
111,0.5272,3.61723834915e-06,6.93448897752e-06,1.035847318e-05
112,0.532,3.61122880502e-06,6.92296810467e-06,1.03412635086e-05
113,0.5367,3.59816753156e-06,6.89792861387e-06,1.03038602729e-05
114,0.5415,3.58775860305e-06,6.87797382466e-06,1.02740523395e-05
115,0.5463,3.57839239492e-06,6.86001798997e-06,1.02472303538e-05
116,0.551,3.56798945862e-06,6.84007469681e-06,1.0217439604e-05
117,0.5557,3.56247282626e-06,6.82949874952e-06,1.02016413992e-05
118,0.5605,3.5511444195e-06,6.80778124523e-06,1.0169200372e-05
119,0.5653,3.53654013646e-06,6.77978365484e-06,1.01273783774e-05
120,0.57,3.53064200741e-06,6.76847636165e-06,1.01104877286e-05
121,0.5747,3.52357746052e-06,6.75493293784e-06,1.00902567938e-05
122,0.5795,3.51034108314e-06,6.72955771171e-06,1.00523519829e-05
123,0.5842,3.50174913522e-06,6.71308617882e-06,1.00277471802e-05
124,0.589,3.48816719967e-06,6.68704844876e-06,9.98885268454e-06
125,0.5938,3.47877482442e-06,6.66904243322e-06,9.96195571729e-06
126,0.5985,3.46721297877e-06,6.64687737117e-06,9.92884609044e-06
127,0.6032,3.4534209913e-06,6.62043696972e-06,9.88935011679e-06
128,0.608,3.4466524968e-06,6.60746109059e-06,9.86996694749e-06
129,0.6128,3.43766771193e-06,6.59023638619e-06,9.84423698256e-06
130,0.6175,3.41418675556e-06,6.54522157037e-06,9.77699524765e-06
131,0.6222,3.4115569315e-06,6.54017974226e-06,9.76946358111e-06
132,0.627,3.39638179005e-06,6.51108776536e-06,9.72600681681e-06
133,0.6318,3.39367003273e-06,6.50588883378e-06,9.71824043112e-06
134,0.6365,3.36948515675e-06,6.45952455283e-06,9.64898291212e-06
135,0.6412,3.36850066422e-06,6.45763688113e-06,9.64616272871e-06
136,0.646,3.34403051278e-06,6.41072570984e-06,9.57608828942e-06
137,0.6507,3.33359514535e-06,6.39072012776e-06,9.5462043366e-06
138,0.6555,3.32268803969e-06,6.36981013074e-06,9.51496932194e-06
139,0.6603,3.30950257143e-06,6.34453239609e-06,9.47720999777e-06
140,0.665,3.29629044189e-06,6.3192034993e-06,9.43937418093e-06
141,0.6697,3.28897698106e-06,6.30518277251e-06,9.41843010793e-06
142,0.6745,3.27238727065e-06,6.27337886579e-06,9.37092222408e-06
143,0.6793,3.27259130689e-06,6.27376959834e-06,9.37150531781e-06
144,0.684,3.25139351905e-06,6.23313166975e-06,9.31080147246e-06
145,0.6887,3.2268519364e-06,6.18608343475e-06,9.24052212262e-06
146,0.6935,3.21925993828e-06,6.17152865903e-06,9.2187802066e-06
147,0.6983,3.20333225302e-06,6.14099380543e-06,9.17316785915e-06
148,0.703,3.19210538127e-06,6.11947066763e-06,9.14101678528e-06
149,0.7077,3.1751273221e-06,6.08692224423e-06,9.0923967342e-06
150,0.7125,3.16741840108e-06,6.07214326577e-06,9.07031984142e-06
151,0.7172,3.16669177286e-06,6.07074971288e-06,9.06823744755e-06
152,0.722,3.13488187351e-06,6.0097675319e-06,8.97714397638e-06
153,0.7268,3.11697439175e-06,5.97543719803e-06,8.92586198066e-06
154,0.7315,3.11780673045e-06,5.97703224477e-06,8.92824378104e-06
155,0.7362,3.08927896314e-06,5.92234209821e-06,8.84654906405e-06
156,0.741,3.07181917255e-06,5.88887000015e-06,8.79654904346e-06
157,0.7458,3.0772278162e-06,5.89923794795e-06,8.81203521781e-06
158,0.7505,3.05183210257e-06,5.8505521919e-06,8.7393096732e-06
159,0.7552,3.03078713605e-06,5.81020689688e-06,8.67904249904e-06
160,0.76,3.02213775464e-06,5.79362467375e-06,8.654271557e-06
161,0.7647,2.99885943884e-06,5.74899794008e-06,8.58760898862e-06
162,0.7695,2.98855697453e-06,5.72924673153e-06,8.55810445309e-06
163,0.7742,2.98397935054e-06,5.72047029063e-06,8.54499341962e-06
164,0.779,2.96826345987e-06,5.69034099636e-06,8.49998624673e-06
165,0.7837,2.95266712185e-06,5.66044103253e-06,8.45532183175e-06
166,0.7885,2.94019646709e-06,5.63653287626e-06,8.41960729014e-06
167,0.7933,2.93687183175e-06,5.63015823626e-06,8.41008361435e-06
168,0.798,2.91254831371e-06,5.58352767537e-06,8.34042766757e-06
169,0.8027,2.89772903872e-06,5.5551170599e-06,8.29798753124e-06
170,0.8075,2.85986704521e-06,5.48253203611e-06,8.18956140331e-06
171,0.8123,2.8653461556e-06,5.49303408892e-06,8.20524655981e-06
172,0.817,2.83554123841e-06,5.43589531983e-06,8.11989385829e-06
173,0.8217,2.81534289807e-06,5.39717241783e-06,8.06204927595e-06
