,a,0.00,0.05,0.10,0.30,0.60
68,1.6086,-7.36947087254e-05,-7.36947087254e-05,-7.36947087254e-05,-7.36947087254e-05,-7.36947087254e-05
69,1.614,-7.43144709523e-05,-7.43144709523e-05,-7.43144709523e-05,-7.43144709523e-05,-7.43144709523e-05
70,1.6194,-7.49373476954e-05,-7.49373476954e-05,-7.49373476954e-05,-7.49373476954e-05,-7.49373476954e-05
71,1.6248,-7.55633441252e-05,-7.55633441252e-05,-7.55633441252e-05,-7.55633441252e-05,-7.55633441252e-05
72,1.6302,-7.61924654016e-05,-7.61924654022e-05,-7.61924654022e-05,-7.61924654022e-05,-7.61924654022e-05
73,1.6355,-7.68129798452e-05,-7.68129798452e-05,-7.68129798452e-05,-7.68129798452e-05,-7.68129798452e-05
74,1.6409,-7.74483081565e-05,-7.74483081565e-05,-7.74483081565e-05,-7.74483081565e-05,-7.74483081565e-05
75,1.6463,-7.80867766492e-05,-7.80867766492e-05,-7.80867766492e-05,-7.80867766492e-05,-7.80867766492e-05
76,1.6517,-7.8728390448e-05,-7.8728390448e-05,-7.8728390448e-05,-7.8728390448e-05,-7.8728390448e-05
77,1.6571,-7.937315467e-05,-7.937315467e-05,-7.937315467e-05,-7.937315467e-05,-7.937315467e-05
78,1.6624,-8.00090472004e-05,-8.00090472004e-05,-8.00090472004e-05,-8.00090472004e-05,-8.00090472004e-05
79,1.6678,-8.06600690098e-05,-8.06600690098e-05,-8.06600690098e-05,-8.06600690098e-05,-8.06600690098e-05
80,1.6732,-8.13142564464e-05,-8.13142564464e-05,-8.13142564464e-05,-8.13142564464e-05,-8.13142564464e-05
81,1.6786,-8.19716145954e-05,-8.19716145954e-05,-8.19716145954e-05,-8.19716145954e-05,-8.19716145954e-05
82,1.684,-8.26321485301e-05,-8.26321485301e-05,-8.26321485301e-05,-8.26321485301e-05,-8.26321485301e-05
83,1.6893,-8.32835433648e-05,-8.32835433648e-05,-8.32835433648e-05,-8.32835433648e-05,-8.32835433648e-05
84,1.6947,-8.39503850183e-05,-8.39503850183e-05,-8.39503850183e-05,-8.39503850183e-05,-8.39503850183e-05
85,1.7001,-8.46204175378e-05,-8.46204175378e-05,-8.46204175378e-05,-8.46204175378e-05,-8.46204175378e-05
86,1.7055,-8.52936459661e-05,-8.52936459661e-05,-8.52936459661e-05,-8.52936459661e-05,-8.52936459661e-05
87,1.7109,-8.59700753346e-05,-8.59700753333e-05,-8.59700753333e-05,-8.59700753333e-05,-8.59700753333e-05
88,1.7163,-8.6649710666e-05,-8.6649710666e-05,-8.6649710666e-05,-8.6649710666e-05,-8.6649710666e-05
89,1.7216,-8.73198824707e-05,-8.73198824707e-05,-8.73198824707e-05,-8.73198824707e-05,-8.73198824707e-05
90,1.727,-8.80058851771e-05,-8.80058851771e-05,-8.80058851771e-05,-8.80058851771e-05,-8.80058851771e-05
91,1.7324,-8.86951087826e-05,-8.86951087826e-05,-8.86951087826e-05,-8.86951087826e-05,-8.86951087826e-05
92,1.7378,-8.93875582806e-05,-8.93875582806e-05,-8.93875582806e-05,-8.93875582806e-05,-8.93875582806e-05
93,1.7432,-9.00832386537e-05,-9.00832386537e-05,-9.00832386537e-05,-9.00832386537e-05,-9.00832386537e-05
94,1.7485,-9.07691825507e-05,-9.07691825507e-05,-9.07691825507e-05,-9.07691825507e-05,-9.07691825507e-05
95,1.7539,-9.14712795399e-05,-9.14712795399e-05,-9.14712795399e-05,-9.14712795399e-05,-9.14712795399e-05
96,1.7593,-9.21766222186e-05,-9.21766222186e-05,-9.21766222186e-05,-9.21766222186e-05,-9.21766222186e-05
97,1.7647,-9.28852155415e-05,-9.28852155415e-05,-9.28852155415e-05,-9.28852155415e-05,-9.28852155415e-05
