,e,0.80,0.85,0.90,0.95
58,0.2755,0.0,5.01433702468e-07,7.470293321e-06,3.23566048822e-06
59,0.2802,0.0,4.9053654733e-07,7.46374608456e-06,3.23427221825e-06
60,0.285,0.0,5.35192237045e-07,7.45639291918e-06,3.23386262408e-06
61,0.2898,0.0,5.26104461779e-07,7.44892018018e-06,3.23087689916e-06
62,0.2945,0.0,5.17356574194e-07,7.44547968007e-06,3.2292663506e-06
63,0.2993,0.0,5.08777073726e-07,7.43459214441e-06,3.22732356989e-06
64,0.304,0.0,5.03627586177e-07,7.42600209674e-06,3.22433136315e-06
65,0.3087,0.0,4.98973087167e-07,7.41423244946e-06,3.22192933529e-06
66,0.3135,0.0,4.95843140142e-07,7.40716041929e-06,3.21926920174e-06
67,0.3182,0.0,4.92311165964e-07,7.39668148639e-06,3.21812086095e-06
68,0.323,0.0,4.90654582316e-07,7.38558586025e-06,3.21707294628e-06
69,0.3277,0.0,5.58259089621e-07,7.37372703019e-06,3.21341674388e-06
70,0.3325,0.0,5.64726500971e-07,7.4523872094e-06,3.211342032e-06
71,0.3372,0.0,5.72180243562e-07,7.44515105428e-06,3.20895952381e-06
72,0.342,0.0,5.09416448731e-07,7.43502555196e-06,3.20580840695e-06
73,0.3468,0.0,5.17327633812e-07,7.42664252613e-06,3.2048138946e-06
74,0.3515,0.0,5.29317668993e-07,7.4181272385e-06,3.19898300432e-06
75,0.3563,0.0,5.40126994686e-07,7.40411961748e-06,3.19729100397e-06
76,0.361,0.0,5.51554383726e-07,7.39972142948e-06,3.18977076597e-06
77,0.3657,0.0,5.6852914653e-07,7.39294242556e-06,3.19053341326e-06
78,0.3705,0.0,5.83379217192e-07,7.38139530456e-06,3.18867589117e-06
79,0.3752,0.0,6.06328202399e-07,7.37472249439e-06,3.18563148325e-06
80,0.38,0.0,6.24705764711e-07,7.36291748792e-06,3.18061210623e-06
81,0.3847,0.0,5.58814966405e-07,7.35199809448e-06,3.17596836656e-06
82,0.3895,0.0,5.82590774213e-07,7.34408657397e-06,3.17309945344e-06
83,0.3942,0.0,6.10658577095e-07,7.32817503795e-06,3.16775270551e-06
84,0.399,0.0,6.33044438267e-07,7.31524987071e-06,3.16598219364e-06
85,0.4037,0.0,5.64630293e-07,7.31005978632e-06,3.16190930621e-06
86,0.4085,0.0,5.96070433964e-07,7.29578388299e-06,3.15844603728e-06
87,0.4133,0.0,6.28689522145e-07,7.29127605201e-06,3.15186176348e-06
88,0.418,0.0,6.69040523209e-07,7.27387676957e-06,3.15091641838e-06
89,0.4228,0.0,6.01012262446e-07,7.26381793976e-06,3.14549247268e-06
90,0.4275,0.0,6.43294057379e-07,7.24541451232e-06,3.14007629795e-06
91,0.4322,0.0,6.89789719266e-07,7.23652794296e-06,3.13357446922e-06
92,0.437,0.0,7.40619332693e-07,7.22656173684e-06,3.12921981552e-06
93,0.4417,0.0,6.69162400495e-07,7.20772831184e-06,3.12572900799e-06
94,0.4465,0.0,7.23686699794e-07,7.19904542421e-06,3.12067735184e-06
95,0.4512,0.0,6.52035342183e-07,7.18001947649e-06,3.11798504313e-06
96,0.456,0.0,7.08067619151e-07,7.16640889801e-06,3.11041973313e-06
97,0.4607,0.0,7.71581495234e-07,7.15894038966e-06,3.10302527604e-06
98,0.4655,0.0,6.9503404315e-07,7.13656938505e-06,3.10123016117e-06
99,0.4703,0.0,7.69371682091e-07,7.12606098069e-06,3.09469747796e-06
100,0.475,0.0,8.44761363912e-07,7.10678746293e-06,3.08990102504e-06
101,0.4798,0.0,7.62959049434e-07,7.09741607349e-06,3.08669970512e-06
102,0.4845,0.0,8.42532880105e-07,7.08229953613e-06,3.07598860018e-06
103,0.4892,0.0,7.70632070261e-07,7.06099725435e-06,3.06834104826e-06
104,0.494,0.0,8.55743529434e-07,7.05294568319e-06,3.06545405394e-06
105,0.4987,0.0,7.7592952692e-07,7.03469196273e-06,3.06171353727e-06
106,0.5035,0.0,8.76697104659e-07,7.02801931225e-06,3.05373616798e-06
107,0.5082,0.0,9.81445430978e-07,7.00142260795e-06,3.0533235351e-06
108,0.513,0.0,8.86400565277e-07,6.99479054109e-06,3.04492838581e-06
109,0.5177,0.0,1.02101881935e-06,6.97452847471e-06,3.03288327642e-06
110,0.5225,0.0,9.23755885897e-07,6.9455259245e-06,3.02755597835e-06
111,0.5272,0.0,1.04753647254e-06,6.93448897752e-06,3.02065498976e-06
112,0.532,0.0,9.65146350571e-07,6.92296810467e-06,3.01829220298e-06
113,0.5367,0.0,1.10458259793e-06,6.89792861387e-06,3.00827138329e-06
114,0.5415,0.0,1.0177381857e-06,6.87797382466e-06,3.00275369327e-06
115,0.5463,6.30448057433e-13,1.17059332361e-06,6.86001798997e-06,2.99856451259e-06
116,0.551,3.14888087477e-10,1.07732105148e-06,6.84007469681e-06,2.99581611585e-06
117,0.5557,0.0,1.25042150808e-06,6.82949874952e-06,2.97350233291e-06
118,0.5605,1.16002908497e-10,1.15694145238e-06,6.80778124523e-06,2.9706259593e-06
119,0.5653,9.50321329042e-10,1.05436740925e-06,6.77978365484e-06,2.96677387047e-06
120,0.57,0.0,1.24232679841e-06,6.76847636165e-06,2.95860569335e-06
121,0.5747,1.28595338986e-10,1.14312569023e-06,6.75493293784e-06,2.95561651272e-06
122,0.5795,2.5021470377e-09,1.35689187114e-06,6.72955771171e-06,2.94185435268e-06
123,0.5842,5.61746620095e-11,1.26843275919e-06,6.71308617882e-06,2.93880735328e-06
124,0.589,1.0963106691e-09,1.4935561024e-06,6.68704844876e-06,2.93063756665e-06
125,0.5938,2.28022242555e-11,1.39669762606e-06,6.66904243322e-06,2.92419109557e-06
126,0.5985,1.07344697775e-09,1.2673153932e-06,6.64687737117e-06,2.91914755726e-06
127,0.6032,4.00117299886e-09,1.61728724812e-06,6.62043696972e-06,2.89901822041e-06
128,0.608,1.15684930906e-09,1.51196133609e-06,6.60746109059e-06,2.88972899767e-06
129,0.6128,4.5218145289e-09,1.81242534245e-06,6.59023638619e-06,2.88481569864e-06
130,0.6175,1.38087739817e-09,1.697003211e-06,6.54522157037e-06,2.87736675925e-06
131,0.6222,5.41764017418e-09,2.06090496959e-06,6.54017974226e-06,2.87090685857e-06
132,0.627,6.60403694734e-10,1.93075130734e-06,6.51108776536e-06,2.86021998777e-06
133,0.6318,6.81674855458e-09,1.81972561535e-06,6.50588883378e-06,2.84860072237e-06
134,0.6365,1.10045215846e-09,2.2211645245e-06,6.45952455283e-06,2.84896321814e-06
135,0.6412,8.93264292649e-09,2.08657145564e-06,6.45763688113e-06,2.83814484143e-06
136,0.646,1.90618886897e-09,1.96310614048e-06,6.41072570984e-06,2.82642879862e-06
