,a,0.80,0.85,0.90,0.95
25,1.3786,0.000110910512841,7.05509759189e-05,-4.99889352406e-05,-5.01160296673e-05
26,1.384,0.000111945435358,7.19567252168e-05,-5.04802235493e-05,-5.0608065145e-05
27,1.3895,0.000113118459179,7.26498294172e-05,-5.0974395867e-05,-5.11121785316e-05
28,1.3949,0.000114166164645,7.40919132831e-05,-5.14714577877e-05,-5.16100441106e-05
29,1.4003,0.000115240386692,7.48001273476e-05,-5.19621300861e-05,-5.21108064273e-05
30,1.4058,0.000116428934246,7.62521538571e-05,-5.24649341869e-05,-5.26238255798e-05
31,1.4112,0.000117495373131,7.69755379184e-05,-5.29706445076e-05,-5.31304519704e-05
32,1.4167,0.000118567652195,7.84645621248e-05,-5.3479266598e-05,-5.36494553134e-05
33,1.4221,0.00011977133863,7.91893510987e-05,-5.39908060024e-05,-5.41619683838e-05
34,1.4275,0.00012085646741,7.99321974927e-05,-5.45052682459e-05,-5.46774061354e-05
35,1.433,0.000122068059818,8.14560030704e-05,-5.50130508992e-05,-5.52054011611e-05
36,1.4384,0.000123166040131,8.22000723564e-05,-5.5533320992e-05,-5.572675923e-05
37,1.4438,0.000124269925606,8.37474092021e-05,-5.605653035e-05,-5.62510585975e-05
38,1.4493,0.000125496137001,8.45214515657e-05,-5.65826844607e-05,-5.67880963895e-05
39,1.4547,0.000126612900315,8.60925608488e-05,-5.71117887991e-05,-5.73183495167e-05
40,1.4602,0.000127735605922,8.68674953112e-05,-5.7633968976e-05,-5.78614626672e-05
41,1.4656,0.0001289761551,8.76616244367e-05,-5.8168935275e-05,-5.83976918089e-05
42,1.471,0.000130111761937,8.92679391895e-05,-5.87068680697e-05,-5.89368897632e-05
43,1.4765,0.000131253347734,9.00627619869e-05,-5.92477727968e-05,-5.94891302705e-05
44,1.4819,0.000132507941374,9.16927340493e-05,-5.97916548795e-05,-6.00343373622e-05
45,1.4873,0.000133662448851,9.25189481999e-05,-6.0338519736e-05,-6.05825296289e-05
46,1.4928,0.000134822971492,9.33496139817e-05,-6.08781631166e-05,-6.11439477995e-05
47,1.4982,0.000136114255052,9.49993550803e-05,-6.14309542346e-05,-6.169818214e-05
48,1.5036,0.000137287835412,9.58462658263e-05,-6.19867442102e-05,-6.22554179279e-05
49,1.5091,0.000138562846081,9.66976913708e-05,-6.25455384176e-05,-6.28260637849e-05
50,1.5145,0.000139749355708,9.83827065437e-05,-6.3107342223e-05,-6.33893743989e-05
51,1.52,0.000140941941349,9.92505554045e-05,-6.36616739422e-05,-6.39662186908e-05
52,1.5254,0.000142230066105,0.000100975688943,-6.42294570194e-05,-6.45356259288e-05
53,1.5308,0.000143435592953,0.000101860169988,-6.48002656314e-05,-6.51080615655e-05
54,1.5363,0.000144647230644,0.000102732465478,-6.5374105106e-05,-6.56942164032e-05
55,1.5417,0.000145948129641,0.000104493487057,-6.59509807588e-05,-6.62727811156e-05
56,1.5471,0.000147172717467,0.000105399321873,-6.65201310175e-05,-6.68543902578e-05
57,1.5526,0.000148403450495,0.000106292629431,-6.71030384705e-05,-6.74499049327e-05
58,1.558,0.000149716771536,0.000108089689893,-6.7688997895e-05,-6.80376754265e-05
59,1.5634,0.000150960460595,0.000109017114321,-6.82780145727e-05,-6.86285062956e-05
60,1.5689,0.00015221032872,0.000110838244585,-6.88700937719e-05,-6.92334298329e-05
61,1.5743,0.000153466386126,0.000111764903795,-6.94652407525e-05,-6.98304541553e-05
62,1.5798,0.000154798534225,0.000112714151701,-7.00523546582e-05,-7.04416967308e-05
63,1.5852,0.000156067573689,0.000114571481975,-7.06535958925e-05,-7.10449358745e-05
64,1.5906,0.00015736790318,0.000115519719353,-7.1257920536e-05,-7.16512618142e-05
65,1.5961,0.00015871183034,0.00011649102253,-7.18653338121e-05,-7.22719944779e-05
66,1.6015,0.000160000196381,0.000118384670096,-7.24758409341e-05,-7.28845670579e-05
67,1.6069,0.000161294818093,0.000119373412286,-7.3078055836e-05,-7.35002421532e-05
68,1.6124,0.000162649999286,0.000120348299176,-7.36947087254e-05,-7.41305132361e-05
69,1.6178,0.000163957599088,0.000122278369266,-7.43144709523e-05,-7.47524666209e-05
70,1.6232,0.000165271486919,0.000123289562531,-7.49373476954e-05,-7.53775381621e-05
71,1.6287,0.000166637517444,0.000124286537679,-7.55633441252e-05,-7.60173957459e-05
72,1.6341,0.000167964376513,0.000126253123236,-7.61924654022e-05,-7.66487770603e-05
73,1.6396,0.000169297555474,0.000127286992997,-7.68129798452e-05,-7.72950719534e-05
74,1.645,0.000170674018064,0.000128325926859,-7.74483081565e-05,-7.79327840081e-05
75,1.6504,0.000172020158285,0.000130309459038,-7.80867766492e-05,-7.85736401359e-05
76,1.6559,0.000173372649769,0.000131366228396,-7.8728390448e-05,-7.92296012107e-05
77,1.6613,0.000174731502482,0.00013242812417,-7.937315467e-05,-7.98768192942e-05
78,1.6667,0.00017612455418,0.000134447886623,-8.00090472004e-05,-8.05271968758e-05
79,1.6722,0.000177496375938,0.000135527776424,-8.06600690098e-05,-8.11928715585e-05
80,1.6776,0.000178874589752,0.000136612854774,-8.13142564464e-05,-8.18496421553e-05
81,1.6831,0.000180277154044,0.000138668898722,-8.19716145954e-05,-8.25218387843e-05
82,1.6885,0.000181695662112,0.000139772127396,-8.26321485301e-05,-8.3185023078e-05
83,1.6939,0.000183093376647,0.000140880606657,-8.32835433648e-05,-8.3851392439e-05
