,e,1.30,1.80,2.20
57,0.2707,4.41254512162e-06,7.91446076268e-06,6.59851814078e-06
58,0.2755,4.40937794457e-06,7.90652146246e-06,6.50820891057e-06
59,0.2802,4.40684113304e-06,7.89966893047e-06,6.65896101802e-06
60,0.285,4.40479172868e-06,7.89265619115e-06,6.82253029663e-06
61,0.2898,4.40243425626e-06,7.88520896634e-06,6.73975110962e-06
62,0.2945,4.40072400629e-06,7.88041871964e-06,6.90731024442e-06
63,0.2993,4.3967007885e-06,7.86990383285e-06,6.82340419708e-06
64,0.304,4.39413978507e-06,7.86161044274e-06,7.01250269735e-06
65,0.3087,4.38926718587e-06,7.84984960548e-06,7.20864182279e-06
66,0.3135,4.38695136948e-06,7.84249030791e-06,7.12608984057e-06
67,0.3182,4.38475798571e-06,7.83406920742e-06,7.34218820786e-06
68,0.323,4.38111707279e-06,7.82368474564e-06,7.26717004829e-06
69,0.3277,4.37632902717e-06,7.8115810122e-06,7.49244420031e-06
70,0.3325,4.44575958813e-06,7.92091030465e-06,7.89667986309e-06
71,0.3372,4.44387984544e-06,7.91331936066e-06,7.82276072619e-06
72,0.342,4.4421713332e-06,7.9059283991e-06,8.07924540046e-06
73,0.3468,4.43867391362e-06,7.89649559812e-06,8.00479914021e-06
74,0.3515,4.4368560592e-06,7.88831409943e-06,8.27696090004e-06
75,0.3563,4.4336244159e-06,7.87785997707e-06,8.56091568533e-06
76,0.361,4.43390523496e-06,7.87400472476e-06,8.50494539036e-06
77,0.3657,4.43274338952e-06,7.86709056212e-06,8.81124697891e-06
78,0.3705,4.43118507175e-06,7.85888447692e-06,9.13062907637e-06
79,0.3752,4.42967300247e-06,7.85183290681e-06,9.08052359538e-06
80,0.38,4.42801790957e-06,7.84277794129e-06,9.42033640135e-06
81,0.3847,4.4264185448e-06,7.83363609946e-06,9.77537181717e-06
82,0.3895,4.42650883859e-06,7.82734070379e-06,1.05681106972e-05
83,0.3942,4.42267139133e-06,7.81526846171e-06,1.13815654045e-05
84,0.399,4.42047274084e-06,7.8043087476e-06,1.13628081564e-05
85,0.4037,4.41978423681e-06,7.79868410753e-06,1.13537290682e-05
86,0.4085,4.41813762472e-06,7.78730372085e-06,1.13344216623e-05
87,0.4133,4.41965221998e-06,7.78412644085e-06,1.13278979627e-05
88,0.418,4.41576527447e-06,7.77023765458e-06,1.13046774606e-05
89,0.4228,4.41589603448e-06,7.76221750927e-06,1.12907921757e-05
90,0.4275,4.41430504662e-06,7.75071608343e-06,1.12692685369e-05
91,0.4322,4.41449307368e-06,7.74355139076e-06,1.12562805799e-05
92,0.437,4.41478305309e-06,7.73651978264e-06,1.12438663392e-05
93,0.4417,4.4108402176e-06,7.72027216546e-06,1.12176669321e-05
94,0.4465,4.41321071784e-06,7.71563554685e-06,1.12068309397e-05
95,0.4512,4.40957552249e-06,7.69921398533e-06,1.11805646568e-05
96,0.456,4.40953640219e-06,7.69148474403e-06,1.11642477654e-05
97,0.4607,4.41354169516e-06,7.68660976717e-06,1.115474783e-05
98,0.4655,4.40987629506e-06,7.67049805201e-06,1.1126102188e-05
99,0.4703,4.4108993481e-06,7.66171127182e-06,1.11121106886e-05
100,0.475,4.41091227041e-06,7.64890053582e-06,1.10867415331e-05
101,0.4798,4.41268889198e-06,7.64152868312e-06,1.107407381e-05
102,0.4845,4.41493980541e-06,7.63229325584e-06,1.10556589629e-05
103,0.4892,4.41489064102e-06,7.61854663307e-06,1.10301132311e-05
104,0.494,4.4201501558e-06,7.61182568047e-06,1.10189676505e-05
105,0.4987,4.41914095541e-06,7.59980374352e-06,1.09949798132e-05
106,0.5035,4.42971777195e-06,7.60023508222e-06,1.09914224626e-05
107,0.5082,4.42609332596e-06,7.57960703356e-06,1.09543474176e-05
108,0.513,4.43523289378e-06,7.57769356225e-06,1.09479153721e-05
109,0.5177,4.43711919768e-06,7.5621267768e-06,1.0922933544e-05
110,0.5225,4.43916902135e-06,7.54679157923e-06,1.08899660932e-05
111,0.5272,4.44638294203e-06,7.53942048157e-06,1.08769963661e-05
112,0.532,4.45541592005e-06,7.53341248861e-06,1.08595632299e-05
113,0.5367,4.46246236172e-06,7.52161903253e-06,1.08379924755e-05
114,0.5415,4.47321897623e-06,7.50602425939e-06,1.08084675945e-05
115,0.5463,4.48375931042e-06,7.49591251414e-06,1.07863340604e-05
116,0.551,4.49792317232e-06,7.48837830954e-06,1.0768742126e-05
117,0.5557,4.51191675405e-06,7.47914533557e-06,1.07514682754e-05
118,0.5605,4.5260545374e-06,7.47501904621e-06,1.07352083864e-05
119,0.5653,4.53162865914e-06,7.45155678468e-06,1.06939939125e-05
120,0.57,4.55270227201e-06,7.45243299887e-06,1.06874785949e-05
121,0.5747,4.56713469911e-06,7.44753108642e-06,1.0673473443e-05
122,0.5795,4.57858177345e-06,7.43603287383e-06,1.06438646125e-05
123,0.5842,4.5967526451e-06,7.43246932614e-06,1.06318487337e-05
124,0.589,4.60547043061e-06,7.41722657413e-06,1.0601608148e-05
125,0.5938,4.62179154408e-06,7.41140291058e-06,1.05791578314e-05
126,0.5985,4.63691708571e-06,7.40507734099e-06,1.05621678456e-05
127,0.6032,4.64450151264e-06,7.3899450098e-06,1.05309970182e-05
128,0.608,4.66887455888e-06,7.39747955961e-06,1.05243628105e-05
129,0.6128,4.68773563838e-06,7.39313653254e-06,1.05108668686e-05
130,0.6175,4.68598011353e-06,7.36624782323e-06,1.0459095651e-05
131,0.6222,4.71082038979e-06,7.37561256187e-06,1.04550121428e-05
