,e,0.80,0.85,0.90,0.95
95,0.4512,0.0,6.87119085777e-07,7.67343306528e-06,8.64530786209e-06
96,0.456,0.0,6.69407841725e-07,7.66192788384e-06,8.64394901874e-06
97,0.4607,0.0,6.97214692243e-07,7.64751161091e-06,8.6492684542e-06
98,0.4655,0.0,7.24669828521e-07,7.6326859898e-06,8.65472157589e-06
99,0.4703,0.0,7.06370316638e-07,7.62133171221e-06,8.65775882931e-06
100,0.475,0.0,7.37567048714e-07,7.60615558967e-06,8.65857543654e-06
101,0.4798,0.0,7.16605210109e-07,7.5923434003e-06,8.66263238876e-06
102,0.4845,0.0,7.48620624031e-07,7.57672198022e-06,8.66638662287e-06
103,0.4892,0.0,7.81927309201e-07,7.56228321235e-06,8.67002861546e-06
104,0.494,0.0,7.62296319143e-07,7.546811142e-06,8.66965481e-06
105,0.4987,0.0,7.95594847932e-07,7.5347243966e-06,8.67533130838e-06
106,0.5035,0.0,8.31126302174e-07,7.51816975768e-06,8.67727518901e-06
107,0.5082,0.0,8.11516079719e-07,7.50586454841e-06,8.68247783307e-06
108,0.513,0.0,8.47623486205e-07,7.49171993004e-06,8.68903369744e-06
109,0.5177,2.37556443544e-13,8.84618300906e-07,7.47645516615e-06,8.68794464821e-06
110,0.5225,1.84433701451e-11,8.64288634533e-07,7.46263675205e-06,8.69150479211e-06
111,0.5272,0.0,9.05948433203e-07,7.44609974022e-06,8.69728888213e-06
112,0.532,0.0,9.45845129643e-07,7.43136205391e-06,8.69790364586e-06
113,0.5367,8.29862978303e-12,9.87154751338e-07,7.41658888932e-06,8.70324338488e-06
114,0.5415,6.06125540704e-13,9.65577344278e-07,7.40051980797e-06,8.70695707557e-06
115,0.5463,2.33651090114e-11,1.00769665174e-06,7.38838953174e-06,8.70807712131e-06
116,0.551,8.78748309913e-11,1.05396530949e-06,7.37120675032e-06,8.71307695164e-06
117,0.5557,4.87164815008e-11,1.10231382733e-06,7.3576536129e-06,8.71539849589e-06
118,0.5605,1.48788438591e-10,1.08117387696e-06,7.34348948378e-06,8.71840034341e-06
119,0.5653,3.30994149777e-10,1.12769869e-06,7.32928632018e-06,8.72470969294e-06
120,0.57,1.82069045664e-10,1.17657751379e-06,7.31474494884e-06,8.72568101883e-06
121,0.5747,3.38278740294e-10,1.23180476647e-06,7.29795827355e-06,8.73246111192e-06
122,0.5795,5.79569443101e-10,1.20818210955e-06,7.28465625052e-06,8.73081490296e-06
123,0.5842,2.23430347759e-10,1.25815531846e-06,7.27079313458e-06,8.73861435133e-06
124,0.589,4.68903662572e-10,1.31581507519e-06,7.25564722212e-06,8.74179335611e-06
125,0.5938,8.48985476259e-10,1.37188297094e-06,7.24268784991e-06,8.74548220153e-06
126,0.5985,1.39783043629e-09,1.42905598411e-06,7.22905919612e-06,8.7439673843e-06
127,0.6032,1.16687808944e-09,1.55181471174e-06,7.21373413286e-06,8.75114877692e-06
128,0.608,1.84535718497e-09,1.61593749293e-06,7.20143595031e-06,8.75674113989e-06
129,0.6128,2.74580400794e-09,1.6796179969e-06,7.19354337869e-06,8.75585671362e-06
130,0.6175,2.3459450188e-09,1.65184371706e-06,7.17569473037e-06,8.76288616994e-06
131,0.6222,3.3347032367e-09,1.71956307143e-06,7.16711066117e-06,8.77021247382e-06
132,0.627,4.56550075777e-09,1.78680284343e-06,7.15575034478e-06,8.77202103645e-06
133,0.6318,6.07694157157e-09,1.9470551752e-06,7.14669874239e-06,8.77190134621e-06
134,0.6365,5.22225969074e-09,2.02360200574e-06,7.13671471962e-06,8.78125981002e-06
135,0.6412,6.89273148225e-09,2.09340645336e-06,7.12517009666e-06,8.78011865089e-06
136,0.646,8.91958621261e-09,2.17057305656e-06,7.11864955269e-06,8.78752235985e-06
137,0.6507,1.53383976416e-08,2.24654880327e-06,7.1105282384e-06,8.7884594635e-06
138,0.6555,1.36246795422e-08,2.31972224096e-06,7.10358855757e-06,8.79246549442e-06
139,0.6603,1.6784793628e-08,2.5096519139e-06,7.10029840255e-06,8.79987077114e-06
140,0.665,2.03989173343e-08,2.48099366692e-06,7.09774700274e-06,8.79969656717e-06
141,0.6697,2.45123208764e-08,2.6811641275e-06,7.09390677645e-06,8.80459328585e-06
142,0.6745,3.01598633277e-08,2.76906354457e-06,7.094889093e-06,8.80585087061e-06
143,0.6793,2.7387426159e-08,2.98081308043e-06,7.09539399254e-06,8.81217893258e-06
144,0.684,3.28646013386e-08,3.07138358963e-06,7.10057164041e-06,8.81524606467e-06
145,0.6887,3.85538989469e-08,3.29290727348e-06,7.1094217603e-06,8.82311042787e-06
146,0.6935,4.49063317427e-08,3.51911491362e-06,7.11986842358e-06,8.82569090076e-06
147,0.6983,5.32039036449e-08,3.75577468064e-06,7.14011429219e-06,8.83054915257e-06
148,0.703,6.09473534068e-08,3.98807207749e-06,7.16640869452e-06,8.829270008e-06
149,0.7077,6.95945505918e-08,4.23201799666e-06,7.19486017233e-06,8.83660174159e-06
150,0.7125,7.97223752989e-08,4.62111566648e-06,7.2266039791e-06,8.83679177147e-06
