,e,1.30,1.80,2.20
174,0.8265,5.06246293434e-06,7.93697332738e-06,1.03446613336e-05
175,0.8312,5.0692351763e-06,7.96024623704e-06,1.03897951711e-05
176,0.836,5.08077203441e-06,7.99093659589e-06,1.04444377151e-05
177,0.8407,5.09089671103e-06,8.01961514334e-06,1.04966037738e-05
178,0.8455,5.09943789797e-06,8.04578012861e-06,1.05453507699e-05
179,0.8502,5.10863920651e-06,8.07318438936e-06,1.05958527518e-05
180,0.855,5.11767912665e-06,8.10030850508e-06,1.06458424864e-05
181,0.8598,5.12921238025e-06,8.13149004949e-06,1.07011758444e-05
182,0.8645,5.13469452837e-06,8.15335842446e-06,1.07444551837e-05
183,0.8692,5.14356061416e-06,8.18062645411e-06,1.07947444431e-05
184,0.874,5.15074538533e-06,8.20552388976e-06,1.08421180714e-05
185,0.8788,5.15821392203e-06,8.2309811085e-06,1.08901972793e-05
186,0.8835,5.16805927954e-06,8.26043417644e-06,1.09436259052e-05
187,0.8882,5.16918040078e-06,8.27632069422e-06,1.09793260169e-05
188,0.893,5.17606686889e-06,8.3015932186e-06,1.10274495707e-05
189,0.8977,5.18032349386e-06,8.32308475926e-06,1.10708201244e-05
190,0.9025,5.18647274067e-06,8.34804940481e-06,1.11190446397e-05
191,0.9073,5.19122631782e-06,8.37113074026e-06,1.11648667805e-05
192,0.912,5.18645050507e-06,8.37950733142e-06,1.11914849647e-05
193,0.9167,5.18870478223e-06,8.39991272134e-06,1.12345421253e-05
194,0.9215,5.18872470721e-06,8.41749967614e-06,1.1274256084e-05
195,0.9263,5.18472722649e-06,8.4295820922e-06,1.13071827093e-05
196,0.931,5.17717494669e-06,8.43700931155e-06,1.13344410034e-05
197,0.9357,5.16864350141e-06,8.44441863141e-06,1.13626212751e-05
198,0.9405,5.15533963232e-06,8.44598472035e-06,1.13840817702e-05
199,0.9452,5.13505360331e-06,8.43854756425e-06,1.13947819028e-05
