,Unnamed: 0,theta i [rad],r orb [AU],v orb [km s-1],ang orb [rad],r L1 [AU],v i [km s-1],ang i [rad],a p [AU],e p,theta p i [rad],flag impact,v imp [km s-1],ang imp [rad],new flag,fraction
59,59,0.371079012136,2.02274403114,32.2935412595,1.5995044433,0.961765183475,3.20826406986,1.8639038972,0.483580028687,0.98978000623,3.14471036997,0.0,0.0,0.0,0,0.095149049129
60,60,0.377368486918,2.02311237329,32.2880996119,1.59997295734,0.961940321133,3.20700138265,1.8689007145,0.483666447229,0.98981738336,3.14475509708,0.0,0.0,0.0,0,0.0949842755629
61,61,0.3836579617,2.02348674443,32.2825699866,1.60044056186,0.962118325429,3.20571798959,1.87389900278,0.48375427966,0.989855294025,3.14479942868,0.0,0.0,0.0,0,0.0948168049994
62,62,0.389947436482,2.02386713636,32.2769525572,1.60090724181,0.962299192465,3.20441391659,1.87889878774,0.483843524029,0.989893733639,3.1448433593,0.0,0.0,0.0,0,0.0946466411074
63,63,0.396236911264,2.02425354075,32.2712474999,1.60137298215,0.962482918274,3.20308919002,1.88390009516,0.483934178349,0.989932697554,3.14488688354,0.0,0.0,0.0,0,0.0944737876079
64,64,0.402526386046,2.0246459491,32.2654549942,1.60183776785,0.962669498821,3.20174383667,1.88890295086,0.484026240598,0.989972181055,3.14492999603,0.0,0.0,0.0,0,0.0942982483088
65,65,0.408815860828,2.02504435278,32.259575222,1.60230158387,0.96285893,3.20037788379,1.89390738073,0.48411970872,0.990012179366,3.14497269147,0.0,0.0,0.0,0,0.0941200270684
66,66,0.415105335609,2.02544874301,32.2536083683,1.60276441521,0.963051207638,3.19899135906,1.89891341072,0.484214580624,0.990052687651,3.14501496461,0.0,0.0,0.0,0,0.0939391278158
67,67,0.421394810391,2.02585911087,32.2475546209,1.60322624683,0.96324632749,3.19758429059,1.90392106684,0.484310854186,0.990093701008,3.14505681026,0.0,0.0,0.0,0,0.093755554538
68,68,0.427684285173,2.02627544728,32.2414141704,1.60368706373,0.963444285241,3.19615670696,1.90893037517,0.484408527243,0.990135214479,3.14509822329,0.0,0.0,0.0,0,0.0935693112989
69,69,0.433973759955,2.02669774301,32.2351872101,1.60414685091,0.963645076506,3.19470863716,1.91394136187,0.484507597602,0.990177223043,3.14513919862,0.0,0.0,0.0,0,0.0933804022304
70,70,0.440263234737,2.02712598871,32.2288739364,1.60460559338,0.963848696832,3.19324011066,1.91895405313,0.48460806303,0.990219721618,3.14517973123,0.0,0.0,0.0,0,0.093188831509
71,71,0.446552709519,2.02756017484,32.2224745482,1.60506327614,0.964055141691,3.19175115735,1.92396847525,0.484709921263,0.990262705067,3.14521981616,0.0,0.0,0.0,0,0.0929946034091
72,72,0.452842184301,2.02800029175,32.2159892476,1.60551988423,0.964264406487,3.19024180756,1.92898465456,0.484813169998,0.99030616819,3.14525944852,0.0,0.0,0.0,0,0.092797722241
73,73,0.459131659083,2.02844632961,32.2094182392,1.60597540266,0.964476486553,3.18871209208,1.93400261749,0.484917806898,0.990350105734,3.14529862348,0.0,0.0,0.0,0,0.0925981924079
74,74,0.465421133865,2.02889827847,32.2027617306,1.60642981647,0.964691377148,3.18716204214,1.93902239052,0.485023829592,0.990394512385,3.14533733625,0.0,0.0,0.0,0,0.0923960183524
75,75,0.471710608647,2.02935612819,32.1960199322,1.6068831107,0.964909073463,3.18559168943,1.94404400022,0.485131235671,0.990439382774,3.14537558212,1.0,616.35980786,1.52230470537,0,0.0921912046208
76,76,0.478000083429,2.02981986851,32.1891930571,1.60733527041,0.965129570614,3.18400106606,1.94906747323,0.485240022691,0.990484711477,3.14541335645,1.0,616.360140514,1.48802509671,0,0.0919837557982
77,77,0.484289558211,2.03028948902,32.1822813213,1.60778628066,0.965352863645,3.18239020461,1.95409283624,0.485350188171,0.990530493014,3.14545065465,1.0,616.360477231,1.46397306946,0,0.091773676536
78,78,0.490579032993,2.03076497912,32.1752849436,1.60823612651,0.965578947531,3.1807591381,1.95912011605,0.485461729597,0.99057672185,3.14548747219,1.0,616.360817998,1.44417932052,0,0.0915609715887
79,79,0.496868507775,2.03124632811,32.1682041457,1.60868479304,0.96580781717,3.1791079,1.96414933952,0.485574644414,0.990623392398,3.14552380461,1.0,616.361162801,1.42687591699,0,0.0913456457305
80,80,0.503157982557,2.0317335251,32.161039152,1.60913226535,0.966039467389,3.17743652424,1.96918053357,0.485688930035,0.990670499016,3.14555964754,1.0,616.361511627,1.41125041872,0,0.0911277038373
81,81,0.509447457339,2.03222655905,32.1537901897,1.60957852851,0.966273892944,3.17574504518,1.97421372523,0.485804583835,0.99071803601,3.14559499662,1.0,616.361864461,1.39684996121,0,0.0909071508521
82,82,0.515736932121,2.03272541879,32.1464574889,1.61002356764,0.966511088512,3.17403349766,1.97924894159,0.485921603152,0.990765997637,3.14562984762,1.0,616.36222129,1.38339183599,0,0.0906839917614
83,83,0.522026406903,2.03323009296,32.1390412824,1.61046736785,0.966751048703,3.17230191695,1.98428620982,0.486039985287,0.990814378099,3.14566419633,1.0,616.3625821,1.37068573947,0,0.0904582316568
84,84,0.528315881685,2.03374057006,32.1315418059,1.61090991426,0.966993768048,3.17055033878,1.98932555719,0.486159727506,0.990863171551,3.14569803862,1.0,616.362946876,1.35859645516,0,0.0902298756818
85,85,0.534605356467,2.03425683845,32.1239592978,1.61135119201,0.967239241006,3.16877879933,1.99436701103,0.486280827036,0.990912372096,3.14573137045,1.0,616.363315604,1.34702391114,0,0.0899989290379
86,86,0.540894831249,2.03477888631,32.1162939993,1.61179118624,0.96748746196,3.16698733524,1.99941059877,0.486403281068,0.990961973791,3.14576418782,1.0,616.363688269,1.33589164684,0,0.0897653970153
87,87,0.547184306031,2.03530670168,32.1085461545,1.6122298821,0.967738425221,3.16517598361,2.0044563479,0.486527086755,0.991011970643,3.14579648681,1.0,616.364064857,1.3251397254,0,0.0895292849621
88,88,0.553473780813,2.03584027242,32.1007160102,1.61266726476,0.967992125023,3.16334478199,2.00950428603,0.486652241214,0.991062356612,3.14582826358,1.0,616.364445352,1.31472016225,0,0.0892905983145
89,89,0.559763255595,2.03637958625,32.0928038161,1.61310331939,0.968248555524,3.16149376839,2.01455444084,0.486778741523,0.991113125612,3.14585951434,1.0,616.36482974,1.30459385828,0,0.089049342563
90,90,0.566052730377,2.03692463073,32.0848098244,1.61353803117,0.968507710807,3.15962298127,2.01960684008,0.486906584724,0.991164271511,3.14589023539,1.0,616.365218006,1.29472847365,0,0.0888055232707
91,91,0.572342205159,2.03747539326,32.0767342905,1.61397138531,0.968769584881,3.15773245956,2.02466151163,0.48703576782,0.991215788132,3.14592042308,1.0,616.365610133,1.2850969125,0,0.0885591460741
92,92,0.57863167994,2.03803186106,32.0685774723,1.614403367,0.969034171677,3.15582224264,2.02971848342,0.487166287777,0.991267669253,3.14595007386,1.0,616.366006107,1.27567621691,0,0.0883102166967
93,93,0.584921154722,2.03859402123,32.0603396305,1.61483396147,0.969301465049,3.15389237036,2.0347777835,0.487298141521,0.991319908611,3.14597918424,1.0,616.366405912,1.26644674288,0,0.0880587408985
94,94,0.591210629504,2.03916186067,32.0520210286,1.61526315395,0.969571458776,3.15194288303,2.03983943999,0.487431325944,0.991372499898,3.14600775078,1.0,616.366809532,1.25739153522,0,0.0878047245464
95,95,0.597500104286,2.03973536613,32.043621933,1.61569092968,0.969844146558,3.14997382141,2.04490348113,0.487565837894,0.991425436765,3.14603577016,1.0,616.367216951,1.24849584574,0,0.0875481735675
96,96,0.603789579068,2.04031452421,32.0351426126,1.61611727392,0.97011952202,3.14798522675,2.04996993522,0.487701674187,0.991478712821,3.14606323908,1.0,616.367628152,1.23974675655,0,0.087289093953
97,97,0.61007905385,2.04089932133,32.0265833394,1.61654217193,0.970397578709,3.14597714073,2.05503883068,0.487838831594,0.991532321637,3.14609015436,1.0,616.368043121,1.23113288187,0,0.0870274917814
98,98,0.616368528632,2.04148974375,32.017944388,1.61696560899,0.970678310092,3.14394960553,2.06011019602,0.487977306853,0.991586256742,3.14611651288,1.0,616.368461839,1.22264412917,0,0.0867633731989
99,99,0.622658003414,2.04208577758,32.0092260356,1.6173875704,0.970961709559,3.14190266376,2.06518405985,0.48811709666,0.991640511628,3.14614231158,1.0,616.368884292,1.21427150594,0,0.0864967444143
100,100,0.628947478196,2.04268740874,32.0004285624,1.61780804146,0.971247770424,3.13983635854,2.07026045088,0.488258197672,0.991695079749,3.14616754749,1.0,616.369310461,1.2060069618,0,0.0862276117335
