,e,1.30,1.80,2.20
64,0.304,3.91318220162e-06,7.50183985161e-06,6.63373719266e-06
65,0.3087,3.90574163585e-06,7.48757576076e-06,6.7450258244e-06
66,0.3135,3.89888214565e-06,7.47442563234e-06,6.8557183265e-06
67,0.3182,3.89223650815e-06,7.46168547352e-06,6.97361415821e-06
68,0.323,3.88571556642e-06,7.44918436503e-06,7.09456336765e-06
69,0.3277,3.87833885467e-06,7.43504268686e-06,7.06522172873e-06
70,0.3325,3.92156711499e-06,7.51791427406e-06,7.31679337039e-06
71,0.3372,3.91645046757e-06,7.50810529625e-06,7.44062382267e-06
72,0.342,3.91141141973e-06,7.49844508169e-06,7.56651495582e-06
73,0.3468,3.90581864081e-06,7.48772332708e-06,7.69410484141e-06
74,0.3515,3.89988114316e-06,7.47634072345e-06,7.98548487294e-06
75,0.3563,3.89298963211e-06,7.46312921056e-06,8.11584867694e-06
76,0.361,3.88773840399e-06,7.45306223251e-06,8.25278164891e-06
77,0.3657,3.88197797625e-06,7.44201908362e-06,8.39053813171e-06
78,0.3705,3.87627547507e-06,7.43108698422e-06,8.69886874717e-06
79,0.3752,3.86984751073e-06,7.4187641222e-06,9.01048831866e-06
80,0.38,3.86358224209e-06,7.40675315995e-06,9.32864655697e-06
81,0.3847,3.85692286289e-06,7.39398665997e-06,9.64938118525e-06
82,0.3895,3.84990768976e-06,7.38053807886e-06,1.0323102709e-05
83,0.3942,3.84212683679e-06,7.36562163723e-06,1.10024911579e-05
84,0.399,3.83473022393e-06,7.35144181e-06,1.0981309845e-05
85,0.4037,3.82768105038e-06,7.33792804851e-06,1.09611234775e-05
86,0.4085,3.82123800053e-06,7.32557626655e-06,1.094267283e-05
87,0.4133,3.81253124223e-06,7.30888480127e-06,1.0917739727e-05
88,0.418,3.8062258773e-06,7.29679697164e-06,1.0899683363e-05
89,0.4228,3.79762839174e-06,7.28031498945e-06,1.08750631778e-05
90,0.4275,3.78943104226e-06,7.26460009497e-06,1.08515888391e-05
91,0.4322,3.7816541892e-06,7.24969132236e-06,1.08293186565e-05
92,0.437,3.77268406625e-06,7.23249496957e-06,1.08036313725e-05
93,0.4417,3.76359528663e-06,7.21507114316e-06,1.07776042956e-05
94,0.4465,3.75480537021e-06,7.19822025875e-06,1.075243306e-05
95,0.4512,3.74638152515e-06,7.1820711576e-06,1.07283101204e-05
96,0.456,3.73884893237e-06,7.16763064915e-06,1.07067394139e-05
97,0.4607,3.72939182709e-06,7.1495007169e-06,1.06796575829e-05
98,0.4655,3.71905685087e-06,7.1296878465e-06,1.06500618427e-05
99,0.4703,3.71110262682e-06,7.11443904212e-06,1.06272837344e-05
100,0.475,3.70070835649e-06,7.09451250122e-06,1.05975181975e-05
101,0.4798,3.69061837998e-06,7.07516931315e-06,1.05686240524e-05
102,0.4845,3.68019387167e-06,7.05518480385e-06,1.05387719249e-05
103,0.4892,3.67007070811e-06,7.03577799353e-06,1.05097827428e-05
104,0.494,3.65915981476e-06,7.01486105097e-06,1.04785377811e-05
105,0.4987,3.64995190278e-06,6.99720884162e-06,1.04521695576e-05
106,0.5035,3.63842275484e-06,6.97510666172e-06,1.04191541321e-05
107,0.5082,3.62873339809e-06,6.95653149006e-06,1.03914072224e-05
108,0.513,3.61784877553e-06,6.93566491114e-06,1.0360237493e-05
109,0.5177,3.6066236464e-06,6.91414555745e-06,1.03280926728e-05
110,0.5225,3.59603777749e-06,6.8938517094e-06,1.02977784678e-05
111,0.5272,3.58423354557e-06,6.8712221757e-06,1.02639753019e-05
112,0.532,3.57280460479e-06,6.84931210125e-06,1.02312468379e-05
113,0.5367,3.56013422261e-06,6.82502209976e-06,1.019496333e-05
114,0.5415,3.54807594156e-06,6.80190553649e-06,1.0160432658e-05
115,0.5463,3.5376321703e-06,6.78188410093e-06,1.0130525374e-05
116,0.551,3.52373287353e-06,6.75523818449e-06,1.00907226862e-05
117,0.5557,3.51189821322e-06,6.73255031929e-06,1.00568323896e-05
118,0.5605,3.49934396609e-06,6.70848295554e-06,1.00208814483e-05
119,0.5653,3.48690775986e-06,6.68464188476e-06,9.98526853506e-06
120,0.57,3.47429591212e-06,6.66046409645e-06,9.94915264509e-06
121,0.5747,3.45971124245e-06,6.6325042745e-06,9.90738729672e-06
122,0.5795,3.44630267545e-06,6.60679912201e-06,9.86898988875e-06
123,0.5842,3.4334762127e-06,6.58220990305e-06,9.83225942085e-06
124,0.589,3.41909671759e-06,6.55464341401e-06,9.79108161721e-06
125,0.5938,3.40510701498e-06,6.52782418541e-06,9.75102004513e-06
126,0.5985,3.39128178049e-06,6.5013202526e-06,9.71142944895e-06
127,0.6032,3.37547127386e-06,6.4710104169e-06,9.66615373786e-06
128,0.608,3.36137959549e-06,6.44399569265e-06,9.62580014041e-06
129,0.6128,3.34876622593e-06,6.4198149894e-06,9.58967989951e-06
130,0.6175,3.33126404673e-06,6.38626209987e-06,9.53955983376e-06
131,0.6222,3.31652091598e-06,6.35799849939e-06,9.49734071561e-06
132,0.627,3.30199964384e-06,6.33016021355e-06,9.45575691144e-06
133,0.6318,3.28609613616e-06,6.29967209098e-06,9.41021488503e-06
