,e,0.80,0.85,0.90,0.95
36,0.171,0.0,4.91216588828e-07,8.01964011707e-06,8.4218428287e-06
37,0.1757,0.0,4.71756828577e-07,8.01429852053e-06,8.42413137599e-06
38,0.1805,0.0,4.33764013617e-07,8.00960646148e-06,8.42668129925e-06
39,0.1852,0.0,4.56995623397e-07,8.00343806071e-06,8.4336594189e-06
40,0.19,0.0,4.56032116399e-07,7.99823752149e-06,8.4378474946e-06
41,0.1948,0.0,4.57202836859e-07,7.99697697518e-06,8.44345564226e-06
42,0.1995,0.0,4.60603135251e-07,7.99457965191e-06,8.4462645411e-06
43,0.2042,0.0,4.66389544592e-07,7.99159337749e-06,8.45048703371e-06
44,0.209,0.0,4.74685220601e-07,7.99000149525e-06,8.45203032796e-06
45,0.2137,0.0,4.46941952698e-07,7.9839390552e-06,8.45566864424e-06
46,0.2185,0.0,4.56099163501e-07,7.97780290116e-06,8.45720787808e-06
47,0.2233,0.0,4.66733081867e-07,7.97293573679e-06,8.45967744053e-06
48,0.228,0.0,4.77967346099e-07,7.96414389308e-06,8.46556848771e-06
49,0.2327,0.0,4.51021930084e-07,7.96023567021e-06,8.47075862478e-06
50,0.2375,0.0,4.6644887761e-07,7.95753181104e-06,8.47485357299e-06
51,0.2422,0.0,4.39198312474e-07,7.95335990373e-06,8.47930917661e-06
52,0.247,0.0,4.59134307199e-07,7.9493106323e-06,8.48117836552e-06
53,0.2517,0.0,4.4102204141e-07,7.94076357009e-06,8.48516513523e-06
54,0.2565,0.0,4.70438048738e-07,7.93373424308e-06,8.4893821015e-06
55,0.2612,0.0,4.56275667794e-07,7.93037531935e-06,8.49265849396e-06
56,0.266,0.0,5.27760225531e-07,7.92208376243e-06,8.49187851119e-06
57,0.2707,0.0,5.14310272585e-07,7.91446076268e-06,8.50043657769e-06
58,0.2755,0.0,5.02802628237e-07,7.90652146246e-06,8.5059661017e-06
59,0.2802,0.0,4.91955342636e-07,7.89966893047e-06,8.51004014107e-06
60,0.285,0.0,5.36601014946e-07,7.89265619115e-06,8.51263068358e-06
61,0.2898,0.0,5.2740031233e-07,7.88520896634e-06,8.51512868966e-06
62,0.2945,0.0,5.18543079943e-07,7.88041871964e-06,8.51770044694e-06
63,0.2993,0.0,5.09896870388e-07,7.86990383285e-06,8.52374173935e-06
64,0.304,0.0,5.04691985738e-07,7.86161044274e-06,8.52536678703e-06
65,0.3087,0.0,5.00103881176e-07,7.84984960548e-06,8.52869788573e-06
66,0.3135,0.0,4.96994340196e-07,7.84249030791e-06,8.53099827607e-06
67,0.3182,0.0,4.9350237167e-07,7.83406920742e-06,8.5386425936e-06
68,0.323,0.0,4.91892214618e-07,7.82368474564e-06,8.54466302861e-06
69,0.3277,0.0,5.59445431299e-07,7.8115810122e-06,8.54937135693e-06
70,0.3325,0.0,5.65874665715e-07,7.92091030465e-06,8.55642727021e-06
71,0.3372,0.0,5.73221675105e-07,7.91331936066e-06,8.55800486857e-06
72,0.342,0.0,5.10434015209e-07,7.9059283991e-06,8.56284675142e-06
73,0.3468,0.0,5.1832599742e-07,7.89649559812e-06,8.56982805036e-06
74,0.3515,0.0,5.3031659695e-07,7.88831409943e-06,8.57034379291e-06
75,0.3563,0.0,5.41156058169e-07,7.87785997707e-06,8.57767153864e-06
76,0.361,0.0,5.52637611805e-07,7.87400472476e-06,8.57469210582e-06
77,0.3657,0.0,5.69661949063e-07,7.86709056212e-06,8.58607563031e-06
78,0.3705,0.0,5.84519949419e-07,7.85888447692e-06,8.59231042007e-06
79,0.3752,0.0,6.07436837543e-07,7.85183290681e-06,8.59824693241e-06
80,0.38,0.0,6.25757974414e-07,7.84277794129e-06,8.60384327158e-06
81,0.3847,0.0,5.59805939447e-07,7.83363609946e-06,8.6053353621e-06
82,0.3895,0.0,5.83627599265e-07,7.82734070379e-06,8.6111800742e-06
83,0.3942,0.0,6.11656006152e-07,7.81526846171e-06,8.61060831677e-06
84,0.399,0.0,6.34072198509e-07,7.8043087476e-06,8.62168340361e-06
85,0.4037,0.0,5.65704678326e-07,7.79868410753e-06,8.62383432419e-06
86,0.4085,0.0,5.97192018023e-07,7.78730372085e-06,8.63241011847e-06
87,0.4133,0.0,6.29787514957e-07,7.78412644085e-06,8.63462288461e-06
88,0.418,0.0,6.70171591855e-07,7.77023765458e-06,8.64515150201e-06
89,0.4228,0.0,6.02038890794e-07,7.76221750927e-06,8.65184553981e-06
90,0.4275,0.0,6.44349362531e-07,7.75071608343e-06,8.66060467159e-06
