,vfr,0.00,0.05,0.10,0.30,0.60
78,0.8784,0.0,4.51549934184e-08,4.32747169911e-08,4.98507901487e-08,1.5957020492e-07
79,0.8794,0.0,4.68376620064e-08,4.58113995873e-08,5.23095995569e-08,1.58149583859e-07
80,0.8804,0.0,4.85534757911e-08,4.84155829393e-08,5.47374027481e-08,1.56678674363e-07
81,0.8814,0.0,5.09028476331e-08,5.00278958139e-08,6.04652803116e-08,1.55476313723e-07
82,0.8824,0.0,5.26775291207e-08,5.27720568867e-08,6.30001594711e-08,1.53958125666e-07
83,0.8834,0.0,5.51146305036e-08,5.55822350792e-08,6.56198664645e-08,1.52484648995e-07
84,0.8844,0.0,5.69389982465e-08,5.84804990234e-08,6.83368103897e-08,1.51011172324e-07
85,0.8854,0.0,5.94414644026e-08,6.14703388849e-08,7.48618430317e-08,1.49645516196e-07
86,0.8864,0.0,6.19708084332e-08,6.45878638984e-08,7.77638407429e-08,1.46808730501e-07
87,0.8874,0.0,6.31742410781e-08,6.91164058552e-08,8.4474295426e-08,1.45392696113e-07
88,0.8884,0.0,6.65667014781e-08,7.26417883785e-08,9.12626341831e-08,1.44398503352e-07
89,0.8894,0.0,6.92940316708e-08,7.56324703572e-08,9.80517213181e-08,1.42809166714e-07
90,0.8905,0.0,7.27945278309e-08,7.80952754257e-08,1.05040443408e-07,1.41639278887e-07
91,0.8915,0.0,7.63491128198e-08,8.25225952406e-08,1.12000415631e-07,1.40175351745e-07
92,0.8925,0.0,8.0726010684e-08,8.70076817084e-08,1.27342374926e-07,1.38711424603e-07
93,0.8935,0.0,8.51690157529e-08,9.29641014788e-08,1.59762951091e-07,1.37520761107e-07
94,0.8945,0.0,9.04771943832e-08,9.90020623679e-08,1.58070258719e-07,1.36227954549e-07
95,0.8955,0.0,9.58440579086e-08,1.06581240938e-07,1.56328405504e-07,1.34758937432e-07
96,0.8965,0.0,1.03773218417e-07,1.15744843175e-07,1.54630824242e-07,1.33289920316e-07
97,0.8975,0.0,1.1435724388e-07,1.32681277306e-07,1.52902556949e-07,1.318209032e-07
98,0.8985,2.29322639141e-07,1.37185785986e-07,1.51210883764e-07,1.51155340985e-07,1.3059902099e-07
99,0.8995,2.27052117958e-07,1.35505609219e-07,1.49416956884e-07,1.47973016822e-07,1.29240592202e-07
100,0.9005,2.24781596774e-07,1.33825179712e-07,1.47623030082e-07,1.46536888828e-07,1.27725168156e-07
101,0.9015,2.22511075601e-07,1.32146915015e-07,1.45829105994e-07,1.44988588569e-07,1.26251273908e-07
102,0.9025,2.20240554418e-07,1.30469766227e-07,1.44035200492e-07,1.43437537404e-07,1.24777379661e-07
103,0.9035,2.17970033235e-07,1.2879371762e-07,1.422413438e-07,1.41791689119e-07,1.23460442427e-07
104,0.9045,2.15699512063e-07,1.27118752362e-07,1.40447577725e-07,1.40233956656e-07,1.22201103214e-07
105,0.9055,2.13428990881e-07,1.25446532458e-07,1.38653956084e-07,1.38579199948e-07,1.2072289361e-07
106,0.9065,2.11158469698e-07,1.23778095939e-07,1.36860565205e-07,1.36948707317e-07,1.19244684007e-07
107,0.9075,2.08887948516e-07,1.22112715871e-07,1.35067484724e-07,1.35286657992e-07,1.17762309802e-07
108,0.9085,2.06617427346e-07,1.20454620845e-07,1.33274802799e-07,1.33621335185e-07,1.16283339765e-07
109,0.9095,2.04346906163e-07,1.18800407318e-07,1.3148262189e-07,1.31980772597e-07,1.13686069237e-07
