,a,0.00,0.05,0.10,0.30,0.60
94,1.7485,-9.08427701507e-07,-9.08427701507e-07,-9.08427701507e-07,-9.08427701507e-07,-9.08427701507e-07
95,1.7539,-9.15457805117e-07,-9.15457805117e-07,-9.15457805117e-07,-9.15457805117e-07,-9.15457805117e-07
96,1.7593,-9.22520448254e-07,-9.22520448254e-07,-9.22520448254e-07,-9.22520448254e-07,-9.22520448254e-07
97,1.7647,-9.29615683987e-07,-9.29615683987e-07,-9.29615683987e-07,-9.29615683987e-07,-9.29615683987e-07
98,1.7701,-9.3674356294e-07,-9.3674356294e-07,-9.3674356294e-07,-9.3674356294e-07,-9.3674356294e-07
99,1.7754,-9.43771230499e-07,-9.43771230499e-07,-9.43771230499e-07,-9.43771230499e-07,-9.43771230499e-07
100,1.7808,-9.50963934487e-07,-9.50963934487e-07,-9.50963934487e-07,-9.50963934487e-07,-9.50963934487e-07
101,1.7862,-9.58189428024e-07,-9.58189428024e-07,-9.58189428024e-07,-9.58189428024e-07,-9.58189428024e-07
102,1.7916,-9.65447761514e-07,-9.65447761514e-07,-9.65447761514e-07,-9.65447761514e-07,-9.65447761514e-07
103,1.797,-9.72738984695e-07,-9.72738984695e-07,-9.72738984695e-07,-9.72738984695e-07,-9.72738984695e-07
104,1.8024,-9.80063147304e-07,-9.80063147304e-07,-9.80063147304e-07,-9.80063147304e-07,-9.80063147304e-07
105,1.8077,-9.87283754528e-07,-9.87283754528e-07,-9.87283754528e-07,-9.87283754528e-07,-9.87283754528e-07
106,1.8131,-9.94673331478e-07,-9.94673331478e-07,-9.94673331478e-07,-9.94673331478e-07,-9.94673331478e-07
107,1.8185,-1.00209599285e-06,-1.00209599285e-06,-1.00209599285e-06,-1.00209599285e-06,-1.00209599285e-06
108,1.8239,-1.00955179216e-06,-1.00955179216e-06,-1.00955179216e-06,-1.00955179216e-06,-1.00955179216e-06
109,1.8293,-1.01704077404e-06,-1.01704077404e-06,-1.01704077404e-06,-1.01704077404e-06,-1.01704077404e-06
