,a,0.80,0.85,0.90,0.95
172,2.1778,0.0,7.48926959193e-09,1.0348250152e-07,9.14385317383e-08
173,2.1832,0.0,7.16721354984e-09,1.02203555091e-07,9.18933193735e-08
174,2.1887,0.0,7.20246936629e-09,1.02711545622e-07,9.23555645579e-08
175,2.1941,0.0,7.23731027265e-09,1.03213707847e-07,9.28126241925e-08
176,2.1995,0.0,7.27273786345e-09,1.01918016761e-07,9.32708119932e-08
177,2.205,0.0,7.30825195707e-09,1.02420856476e-07,9.37365045065e-08
178,2.2104,0.0,6.98809265804e-09,1.01116321868e-07,9.41969643117e-08
179,2.2158,0.0,7.02205212372e-09,1.01612756909e-07,9.46585522832e-08
180,2.2213,0.0,7.05609390343e-09,1.00292948739e-07,9.51276921157e-08
181,2.2267,0.0,7.09021799479e-09,1.0078295243e-07,9.55915520964e-08
182,2.2321,0.0,7.12393911684e-09,1.01274150211e-07,9.60565402404e-08
183,2.2376,0.0,6.80693056014e-09,9.99455411261e-08,9.65291273938e-08
184,2.243,0.0,6.83961370312e-09,1.0043029491e-07,9.69963875398e-08
185,2.2485,0.0,6.87191033419e-09,9.90939882167e-08,9.7471278184e-08
186,2.2539,0.0,6.90474891855e-09,9.95656352515e-08,9.79408103335e-08
187,2.2593,0.0,6.93766577561e-09,1.00045074545e-07,9.84114706514e-08
188,2.2648,0.0,6.62356830486e-09,9.86939562072e-08,9.88898086112e-08
189,2.2702,0.0,6.65454903465e-09,9.91669206217e-08,9.93627409358e-08
190,2.2756,0.0,6.68604893319e-09,9.78088979723e-08,9.98368014211e-08
191,2.2811,0.0,6.71762320667e-09,9.82688932965e-08,1.00318586703e-07
192,2.2865,0.0,6.74882287196e-09,9.87364751484e-08,1.00794919191e-07
193,2.2919,0.0,6.78054484725e-09,9.73644605976e-08,1.01272379851e-07
194,2.2974,0.0,6.46810582785e-09,9.78255450613e-08,1.01757612454e-07
195,2.3028,0.0,6.49836609381e-09,9.8287718708e-08,1.0223734511e-07
196,2.3083,0.0,6.52826669357e-09,9.68957007369e-08,1.02724881196e-07
197,2.3137,0.0,6.55866719818e-09,9.73513436679e-08,1.0320688586e-07
198,2.3191,0.0,6.58913832492e-09,9.78080553871e-08,1.03690018684e-07
199,2.3246,0.0,6.27974476427e-09,9.64092212128e-08,1.04181002089e-07
