,a,0.00,0.05,0.10,0.30,0.60
146,2.0284,0.0,0.759434590015,0.731038404905,1.0,1.0
147,2.0338,0.0,0.755782920633,0.724493353728,1.0,1.0
148,2.0391,0.0,0.752136180227,0.724493353728,1.0,1.0
149,2.0445,0.0,0.748494439466,0.717961539747,0.942902193719,1.0
150,2.0499,0.0,0.744857768748,0.711443276794,0.923891367175,1.0
151,2.0553,0.0,0.741226238225,0.711443276793,0.9049013208,1.0
152,2.0607,0.0,0.737599917772,0.704938877785,0.885937983944,1.0
153,2.066,0.0,0.733978877,0.704938877785,0.867007280145,1.0
154,2.0714,0.0,0.733978877003,0.698448654682,0.86700728014,1.0
155,2.0768,0.0,0.730363185225,0.698448654684,0.848115125769,1.0
156,2.0822,0.0,0.726752911549,0.691972918438,0.848115125762,1.0
157,2.0876,0.0,0.723148124737,0.685511979046,0.848115125771,1.0
158,2.093,0.0,0.719548893296,0.68551197905,0.829594771919,1.0
159,2.0983,0.0,0.715955285434,0.679066145486,0.829594771912,1.0
160,2.1037,0.0,0.71595528544,0.679066145487,0.811124869766,1.0
161,2.1091,0.0,0.71236736909,0.672635725689,0.811124869759,1.0
162,2.1145,0.0,0.708785211893,0.672635725688,0.811124869767,1.0
163,2.1199,0.0,0.705208881183,0.666221026536,0.792711317776,1.0
164,2.1252,0.0,0.701638444007,0.666221026537,0.792711317784,1.0
165,2.1306,0.0,0.701638443986,0.659822353843,0.774360002164,1.0
166,2.136,0.0,0.698073967088,0.659822353843,0.774360002172,1.0
167,2.1414,0.0,0.694515516907,0.653440012322,0.774360002169,1.0
168,2.1468,0.0,0.694515516912,0.653440012328,0.756076795612,1.0
169,2.1521,0.0,0.690963159576,0.647074305584,0.756076795609,1.0
170,2.1575,0.0,0.68741696091,0.647074305585,0.7560767956,1.0
171,2.1629,0.0,0.683876986423,0.640725536104,0.737867555976,1.0
172,2.1683,0.0,0.683876986424,0.640725536107,0.737867555975,1.0
173,2.1737,0.0,0.6803433013,0.634394005202,0.737867555982,1.0
174,2.1791,0.0,0.676815970412,0.634394005206,0.737867555979,1.0
175,2.1844,0.0,0.676815970392,0.634394005207,0.719738125165,1.0
176,2.1898,0.0,0.673295058295,0.628080013047,0.719738125158,1.0
177,2.1952,0.0,0.669780629209,0.628080013048,0.719738125171,1.0
