,a,0.00,0.05,0.10,0.30,0.60
73,1.6355,1.86513017268e-07,1.11177860439e-07,1.22615516294e-07,1.21612590072e-07,1.06056081963e-07
74,1.6409,1.87745615271e-07,1.11912595265e-07,1.2342583851e-07,1.224162843e-07,1.0675696878e-07
75,1.6463,1.88982272755e-07,1.12649749888e-07,1.24238829462e-07,1.23222625431e-07,1.07460163918e-07
76,1.6517,1.9022298971e-07,1.13389324302e-07,1.25054489151e-07,1.24031613489e-07,1.08165667374e-07
77,1.6571,1.91467766138e-07,1.14131318517e-07,1.25872817578e-07,1.24843248441e-07,1.08873479151e-07
78,1.6624,1.92699214372e-07,1.14865367977e-07,1.26682383918e-07,1.2564619299e-07,1.09573712177e-07
79,1.6678,1.93952053361e-07,1.15612168173e-07,1.27506012753e-07,1.26463084995e-07,1.10286108532e-07
80,1.6732,1.95208951821e-07,1.16361388165e-07,1.28332310325e-07,1.27282623925e-07,1.11000813208e-07
81,1.6786,1.96469909742e-07,1.17113027953e-07,1.29161276633e-07,1.28104809746e-07,1.11717826202e-07
82,1.684,1.97734927144e-07,1.17867087536e-07,1.29992911679e-07,1.2892964249e-07,1.12437147515e-07
83,1.6893,1.98986334967e-07,1.18613034635e-07,1.30815599651e-07,1.29745601328e-07,1.13148730073e-07
84,1.6947,2.00259414928e-07,1.19371900197e-07,1.31652535104e-07,1.30575691124e-07,1.13872635965e-07
85,1.7001,2.0153655436e-07,1.20133185557e-07,1.32492139292e-07,1.31408427815e-07,1.14598850176e-07
86,1.7055,2.02817753261e-07,1.20896890705e-07,1.33334412216e-07,1.32243811411e-07,1.15327372703e-07
87,1.7109,2.04103011633e-07,1.21663015652e-07,1.34179353876e-07,1.3308184193e-07,1.16058203551e-07
88,1.7163,2.05392329464e-07,1.22431560395e-07,1.35026964273e-07,1.33922519341e-07,1.16791342716e-07
89,1.7216,2.06667699959e-07,1.23191791315e-07,1.35865405544e-07,1.34754102639e-07,1.17516551066e-07
90,1.727,2.07965080358e-07,1.23965142038e-07,1.36718316345e-07,1.35600037103e-07,1.1825427481e-07
91,1.7324,2.09266520226e-07,1.24740912554e-07,1.37573895885e-07,1.36448618485e-07,1.18994306868e-07
92,1.7378,2.10572019562e-07,1.25519102863e-07,1.38432144156e-07,1.37299846762e-07,1.19736647248e-07
93,1.7432,2.11881578367e-07,1.26299712968e-07,1.39293061163e-07,1.38153721959e-07,1.20481295944e-07
94,1.7485,2.1317690844e-07,1.2707184152e-07,1.4014462406e-07,1.38998319541e-07,1.21217853821e-07
95,1.7539,2.14494529791e-07,1.27857257604e-07,1.41010841473e-07,1.39857451771e-07,1.21967087093e-07
96,1.7593,2.1581621062e-07,1.28645093474e-07,1.41879727619e-07,1.40719230924e-07,1.22718628683e-07
97,1.7647,2.17141950917e-07,1.29435349145e-07,1.42751282499e-07,1.41583656968e-07,1.23472478592e-07
98,1.7701,2.18471750681e-07,1.30228024608e-07,1.43625506115e-07,1.42450729933e-07,1.24228636816e-07
99,1.7754,2.19787040328e-07,1.31012050789e-07,1.44490190636e-07,1.43308341811e-07,1.24976544216e-07
100,1.7808,2.21124902646e-07,1.31809532231e-07,1.45369714655e-07,1.44180671821e-07,1.25737287014e-07
101,1.7862,2.22466824431e-07,1.32609433465e-07,1.46251907407e-07,1.45055648726e-07,1.2650033813e-07
102,1.7916,2.23812805673e-07,1.33411754492e-07,1.47136768895e-07,1.45933272551e-07,1.27265697567e-07
103,1.797,2.25162846392e-07,1.34216495311e-07,1.48024299117e-07,1.46813543262e-07,1.28033365317e-07
104,1.8024,2.26516946577e-07,1.35023655924e-07,1.48914498072e-07,1.47696460897e-07,1.28803341384e-07
105,1.8077,2.27856198878e-07,1.35821965916e-07,1.49794935879e-07,1.48569697208e-07,1.29564874562e-07
106,1.8131,2.29218361615e-07,1.36633932497e-07,1.50690435235e-07,1.49457871875e-07,1.30339435202e-07
107,1.8185,2.30584583818e-07,1.37448318879e-07,1.51588603324e-07,1.5034869346e-07,1.31116304159e-07
108,1.8239,2.31954865487e-07,1.38265125052e-07,1.52489440148e-07,1.51242161937e-07,1.31895481433e-07
109,1.8293,2.33329206621e-07,1.39084351017e-07,1.53392945704e-07,1.52138277331e-07,1.32676967025e-07
110,1.8346,2.34688418474e-07,1.39894558631e-07,1.54286505126e-07,1.53024527932e-07,1.33449849721e-07
111,1.84,2.36070822157e-07,1.40718590572e-07,1.55195311084e-07,1.53925900373e-07,1.34235919882e-07
112,1.8454,2.37457285306e-07,1.41545042304e-07,1.56106785773e-07,1.54829919701e-07,1.35024298358e-07
113,1.8508,2.38847807919e-07,1.42373913828e-07,1.57020929195e-07,1.55736585952e-07,1.35814985152e-07
114,1.8562,2.40242389997e-07,1.43205205143e-07,1.5793774135e-07,1.56645899089e-07,1.36607980259e-07
115,1.8616,0.0,1.44038916249e-07,1.58857222236e-07,1.57557859145e-07,1.37403283685e-07
116,1.8669,0.0,1.36543944683e-07,1.59766534939e-07,1.5845973417e-07,1.38189792156e-07
117,1.8723,0.0,1.31775441688e-07,1.60691316223e-07,1.59376951254e-07,1.38989680151e-07
118,1.8777,0.0,1.28824761762e-07,1.58287744827e-07,1.60296815258e-07,1.39791876461e-07
119,1.8831,0.0,1.25850760507e-07,1.49164822682e-07,1.6121932615e-07,1.40596381084e-07
120,1.8885,0.0,1.23783970853e-07,1.44996714365e-07,1.62144483963e-07,1.41403194024e-07
121,1.8938,0.0,1.22619934995e-07,1.40785750299e-07,1.63059373268e-07,1.42201052011e-07
122,1.8992,0.0,1.21452923034e-07,1.38233501508e-07,1.6398978812e-07,1.4301244952e-07
123,1.9046,0.0,1.19341102019e-07,1.35660722556e-07,1.64922849861e-07,1.43826155342e-07
124,1.91,0.0,1.18148447734e-07,1.3474763125e-07,1.65858558519e-07,1.44642169481e-07
125,1.9154,0.0,1.16944647051e-07,1.32139445194e-07,1.66796914066e-07,1.45460491935e-07
126,1.9207,0.0,1.16657083376e-07,1.31187456415e-07,1.67724817667e-07,1.46269699427e-07
127,1.9261,0.0,1.15433248716e-07,1.30234307589e-07,1.68668430253e-07,1.4709260645e-07
128,1.9315,0.0,1.14199480624e-07,1.29269897708e-07,1.69614689739e-07,1.47917821786e-07
129,1.9369,0.0,1.1389606953e-07,1.26602004271e-07,1.70563596144e-07,1.48745345435e-07
130,1.9423,0.0,1.12643975289e-07,1.25612798357e-07,1.71515149439e-07,1.495751774e-07
131,1.9477,0.0,1.12325579098e-07,1.24613371237e-07,1.72469349649e-07,1.50407317676e-07
132,1.953,0.0,1.11047749721e-07,1.23594493303e-07,1.7341287765e-07,1.51230150932e-07
133,1.9584,0.0,1.10714961762e-07,1.22575520686e-07,1.74372334899e-07,1.52066875773e-07
134,1.9638,0.0,1.1037630561e-07,1.21547126027e-07,1.75334439033e-07,1.52905908934e-07
135,1.9692,0.0,1.09083046585e-07,1.20509581784e-07,1.76299190084e-07,1.53747250406e-07
136,1.9746,0.0,1.08730690263e-07,1.21170848433e-07,1.77266588021e-07,1.5459090019e-07
137,1.9799,0.0,1.08364495616e-07,1.20107794749e-07,1.78223130293e-07,1.55425082948e-07
