,e,0.80,0.85,0.90,0.95
53,0.2517,0.0,8.56923505683e-09,1.51339327523e-07,6.56427406575e-08
54,0.2565,0.0,8.6102708448e-09,1.51210172083e-07,6.5594270046e-08
55,0.2612,0.0,8.66016736324e-09,1.51001302669e-07,6.55477825286e-08
56,0.266,0.0,9.37649859083e-09,1.50849270589e-07,6.54975367033e-08
57,0.2707,0.0,9.42363162308e-09,1.50656156274e-07,6.54467460637e-08
58,0.2755,0.0,9.49205526223e-09,1.50448779872e-07,6.54160767292e-08
59,0.2802,0.0,9.56570456433e-09,1.5028813575e-07,6.53856992744e-08
60,0.285,0.0,9.64782656839e-09,1.50130033643e-07,6.53072617871e-08
61,0.2898,0.0,9.13924090734e-09,1.49893445387e-07,6.52690743866e-08
62,0.2945,0.0,9.21127205911e-09,1.49686734241e-07,6.52030365174e-08
63,0.2993,0.0,9.3200786323e-09,1.49509604455e-07,6.51291906996e-08
64,0.304,0.0,9.42562342851e-09,1.49283706323e-07,6.50811264729e-08
65,0.3087,0.0,9.5439232941e-09,1.4899418205e-07,6.49964748798e-08
66,0.3135,0.0,9.69276770683e-09,1.48727015984e-07,6.49534631687e-08
67,0.3182,0.0,9.81936304604e-09,1.48467636699e-07,6.48673806236e-08
68,0.323,0.0,9.32571251548e-09,1.48212998716e-07,6.4820406925e-08
69,0.3277,0.0,9.54532765763e-09,1.47926062086e-07,6.47351045747e-08
70,0.3325,0.0,9.77028676567e-09,1.49589626027e-07,6.4674677629e-08
71,0.3372,0.0,1.00233553128e-08,1.49389318474e-07,6.45773179831e-08
72,0.342,0.0,1.02692794313e-08,1.49191858528e-07,6.45014415694e-08
73,0.3468,0.0,9.85153289226e-09,1.48973482393e-07,6.44068510447e-08
74,0.3515,0.0,1.01274261016e-08,1.48742146448e-07,6.43165791453e-08
75,0.3563,0.0,1.04082102924e-08,1.48474367906e-07,6.42417094548e-08
76,0.361,0.0,1.07093038638e-08,1.48269067154e-07,6.41420617868e-08
77,0.3657,0.0,1.02876295282e-08,1.48044379173e-07,6.40352120427e-08
78,0.3705,0.0,1.05814840027e-08,1.4782194618e-07,6.39522168097e-08
79,0.3752,0.0,1.09014786184e-08,1.47571870201e-07,6.38828365281e-08
80,0.38,0.0,1.04608025339e-08,1.47328520882e-07,6.37586300895e-08
81,0.3847,0.0,1.07826933693e-08,1.4706986414e-07,6.36706607529e-08
82,0.3895,0.0,1.11804876904e-08,1.46797658046e-07,6.35680904848e-08
83,0.3942,0.0,1.07245549885e-08,1.46496478496e-07,6.34346914984e-08
84,0.399,0.0,1.10636228572e-08,1.46209718336e-07,6.33322908492e-08
85,0.4037,0.0,1.14743035505e-08,1.45936589066e-07,6.32271755797e-08
86,0.4085,0.0,1.10295712525e-08,1.45686074451e-07,6.30927436026e-08
87,0.4133,0.0,1.14396378245e-08,1.45349826377e-07,6.30142611228e-08
88,0.418,0.0,1.18935149717e-08,1.451049564e-07,6.28895952682e-08
89,0.4228,0.0,1.23505954268e-08,1.44772764634e-07,6.27586042126e-08
90,0.4275,0.0,1.1988905635e-08,1.44455652711e-07,6.26488390199e-08
91,0.4322,0.0,1.24572023602e-08,1.44154979826e-07,6.25355456629e-08
92,0.437,0.0,1.29575754232e-08,1.43809017341e-07,6.23796589604e-08
93,0.4417,0.0,1.26057830119e-08,1.43458221788e-07,6.22477564725e-08
94,0.4465,0.0,1.30857901843e-08,1.43119178328e-07,6.21026982557e-08
95,0.4512,0.0,1.36401218797e-08,1.42793697837e-07,6.19815037938e-08
96,0.456,0.0,1.32870988868e-08,1.42502540605e-07,6.18144085921e-08
97,0.4607,0.0,1.38388873009e-08,1.42137717093e-07,6.17009494263e-08
98,0.4655,0.0,1.43842978645e-08,1.41739817908e-07,6.15666640842e-08
99,0.4703,0.0,1.40194560886e-08,1.41432699393e-07,6.14309508882e-08
100,0.475,0.0,1.46385292405e-08,1.41032608209e-07,6.12591626379e-08
101,0.4798,0.0,1.42216533649e-08,1.40644349228e-07,6.11173987831e-08
102,0.4845,0.0,1.48570260104e-08,1.40243176726e-07,6.09751967831e-08
103,0.4892,0.0,1.55175041232e-08,1.39853500789e-07,6.08141285767e-08
104,0.494,0.0,1.51270249781e-08,1.39433780276e-07,6.06352987604e-08
105,0.4987,0.0,1.57872133549e-08,1.39079304733e-07,6.04806238658e-08
106,0.5035,0.0,1.64919784462e-08,1.38635846525e-07,6.03192389754e-08
107,0.5082,0.0,1.61015675116e-08,1.38263282449e-07,6.01743007146e-08
108,0.513,0.0,1.68176832347e-08,1.3784482387e-07,6.00163064405e-08
109,0.5177,4.72148340914e-15,1.75513644433e-08,1.37413421182e-07,5.98087183873e-08
110,0.5225,3.6655589742e-13,1.71454210628e-08,1.37006375111e-07,5.96411690856e-08
111,0.5272,0.0,1.7971766369e-08,1.36552769409e-07,5.94761880868e-08
112,0.532,0.0,1.87625600258e-08,1.36113678158e-07,5.92928916591e-08
113,0.5367,1.64918081906e-13,1.95815936504e-08,1.35627927337e-07,5.91263957078e-08
114,0.5415,1.20451696719e-14,1.91519868956e-08,1.35164730994e-07,5.89132088648e-08
115,0.5463,4.64307840964e-13,1.9986934552e-08,1.34763599956e-07,5.87261078766e-08
116,0.551,1.74618643316e-12,2.09042147267e-08,1.34230384309e-07,5.85366988096e-08
117,0.5557,9.68032262222e-13,2.18626343953e-08,1.33776471138e-07,5.83389208922e-08
118,0.5605,2.95645304572e-12,2.14405541493e-08,1.33294737317e-07,5.81355152637e-08
