,e,1.30,1.80,2.20
39,0.1852,7.9737977443e-08,1.52870297442e-07,1.05632045322e-07
40,0.19,7.96767013544e-08,1.527528215e-07,1.06415497782e-07
41,0.1948,7.96490977297e-08,1.52699900993e-07,1.07305916907e-07
42,0.1995,7.96252364419e-08,1.52654155131e-07,1.0827529338e-07
43,0.2042,7.9597821361e-08,1.52601596091e-07,1.09362714596e-07
44,0.209,7.9544098248e-08,1.52498600391e-07,1.10412307531e-07
45,0.2137,7.94894344532e-08,1.52393801261e-07,1.11677273468e-07
46,0.2185,7.94285233856e-08,1.52277025123e-07,1.13015667009e-07
47,0.2233,7.93588650119e-08,1.52143479015e-07,1.12020584225e-07
48,0.228,7.92727469827e-08,1.51978377148e-07,1.13417327481e-07
49,0.2327,7.92022577935e-08,1.51843238239e-07,1.14898181748e-07
50,0.2375,7.91595974602e-08,1.51761451643e-07,1.1642927579e-07
51,0.2422,7.90875063727e-08,1.51623241639e-07,1.15543162958e-07
52,0.247,7.90446467259e-08,1.51541072924e-07,1.17188250448e-07
53,0.2517,7.89394152308e-08,1.51339327523e-07,1.18829377067e-07
54,0.2565,7.88720470538e-08,1.51210172083e-07,1.20555214075e-07
55,0.2612,7.87630996338e-08,1.51001302669e-07,1.19728622828e-07
56,0.266,7.86837988743e-08,1.50849270589e-07,1.21513653229e-07
57,0.2707,7.85830694014e-08,1.50656156274e-07,1.23336829374e-07
58,0.2755,7.84749007439e-08,1.50448779872e-07,1.22561439518e-07
59,0.2802,7.83911078979e-08,1.5028813575e-07,1.24487357866e-07
60,0.285,7.83086409808e-08,1.50130033643e-07,1.26459948689e-07
61,0.2898,7.81852352656e-08,1.49893445387e-07,1.28526780451e-07
62,0.2945,7.8077413609e-08,1.49686734241e-07,1.30583523409e-07
63,0.2993,7.79850217521e-08,1.49509604455e-07,1.29897399732e-07
64,0.304,7.78671920604e-08,1.49283706323e-07,1.32008109102e-07
65,0.3087,7.77161746286e-08,1.4899418205e-07,1.34217762681e-07
66,0.3135,7.75768193586e-08,1.48727015984e-07,1.36415549336e-07
67,0.3182,7.74415257148e-08,1.48467636699e-07,1.38756146618e-07
68,0.323,7.73087051591e-08,1.48212998716e-07,1.41157286629e-07
69,0.3277,7.71590374589e-08,1.47926062086e-07,1.40568167221e-07
70,0.3325,7.80267614483e-08,1.49589626027e-07,1.45588027066e-07
71,0.3372,7.7922279941e-08,1.49389318474e-07,1.4804710356e-07
72,0.342,7.78192837633e-08,1.49191858528e-07,1.50546894035e-07
73,0.3468,7.77053775872e-08,1.48973482393e-07,1.53080514129e-07
74,0.3515,7.75847115028e-08,1.48742146448e-07,1.58873065515e-07
75,0.3563,7.74450367597e-08,1.48474367906e-07,1.61461563696e-07
76,0.361,7.73379507738e-08,1.48269067154e-07,1.64180481001e-07
77,0.3657,7.72207523059e-08,1.48044379173e-07,1.669156291e-07
78,0.3705,7.710473005e-08,1.4782194618e-07,1.73044124035e-07
79,0.3752,7.69742890612e-08,1.47571870201e-07,1.7923769085e-07
80,0.38,7.68473567378e-08,1.47328520882e-07,1.85561597713e-07
81,0.3847,7.67124399794e-08,1.4706986414e-07,1.91936039451e-07
82,0.3895,7.65704558031e-08,1.46797658046e-07,2.0533194768e-07
83,0.3942,7.64133589147e-08,1.46496478496e-07,2.18840230501e-07
84,0.399,7.62637832566e-08,1.46209718336e-07,2.18411860751e-07
85,0.4037,7.61213175478e-08,1.45936589066e-07,2.1800385318e-07
86,0.4085,7.59906477669e-08,1.45686074451e-07,2.17629627963e-07
